date,allocation,cooldown
2005-08-31,GOLD:0.7|NASDAQ100:0.3,0
2005-09-01,GOLD:0.7|NASDAQ100:0.3,0
2005-09-02,GOLD:0.7|NASDAQ100:0.3,0
2005-09-06,GOLD:0.7|NASDAQ100:0.3,0
2005-09-07,GOLD:0.7|NASDAQ100:0.3,0
2005-09-08,GOLD:0.7|NASDAQ100:0.3,0
2005-09-09,GOLD:0.7|NASDAQ100:0.3,0
2005-09-12,GOLD:0.7|NASDAQ100:0.3,0
2005-09-13,GOLD:0.7|NASDAQ100:0.3,0
2005-09-14,GOLD:0.7|NASDAQ100:0.3,0
2005-09-15,GOLD:0.7|NASDAQ100:0.3,0
2005-09-16,GOLD:0.7|NASDAQ100:0.3,0
2005-09-19,GOLD:0.7|NASDAQ100:0.3,0
2005-09-20,GOLD:0.7|NASDAQ100:0.3,0
2005-09-21,GOLD:0.7|NASDAQ100:0.3,0
2005-09-22,GOLD:0.7|NASDAQ100:0.3,0
2005-09-23,GOLD:0.7|NASDAQ100:0.3,0
2005-09-26,GOLD:0.7|NASDAQ100:0.3,0
2005-09-27,GOLD:0.7|NASDAQ100:0.3,0
2005-09-28,GOLD:0.7|NASDAQ100:0.3,0
2005-09-29,GOLD:0.7|NASDAQ100:0.3,0
2005-09-30,GOLD:0.3|NASDAQ100:0.7,0
2005-10-03,GOLD:0.3|NASDAQ100:0.7,0
2005-10-04,GOLD:0.3|NASDAQ100:0.7,0
2005-10-05,GOLD:0.3|NASDAQ100:0.7,0
2005-10-06,GOLD:0.3|NASDAQ100:0.7,0
2005-10-07,GOLD:0.3|NASDAQ100:0.7,0
2005-10-10,GOLD:0.3|NASDAQ100:0.7,0
2005-10-11,GOLD:0.3|NASDAQ100:0.7,0
2005-10-12,GOLD:0.3|NASDAQ100:0.7,0
2005-10-13,GOLD:0.3|NASDAQ100:0.7,0
2005-10-14,GOLD:0.3|NASDAQ100:0.7,0
2005-10-17,GOLD:0.3|NASDAQ100:0.7,0
2005-10-18,GOLD:0.3|NASDAQ100:0.7,0
2005-10-19,GOLD:0.3|NASDAQ100:0.7,0
2005-10-20,GOLD:0.3|NASDAQ100:0.7,0
2005-10-21,GOLD:0.3|NASDAQ100:0.7,0
2005-10-24,GOLD:0.3|NASDAQ100:0.7,0
2005-10-25,GOLD:0.3|NASDAQ100:0.7,0
2005-10-26,GOLD:0.3|NASDAQ100:0.7,0
